Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3)
Pelizaeus-Merzbacher disease,No change,"A 4-year-old male child is brought to the neurology clinic by his parents with the chief complaint of delayed motor milestones. On examination, he is found to have spasticity, difficulty standing, and walking. His muscle tone is increased in both lower limbs, and he has exaggerated deep tendon reflexes. He also has nystagmus, difficulty with coordination, and speech delay. MRI of the brain reveals a characteristic pattern of diffuse white matter hypoplasia, consistent with Pelizaeus-Merzbacher disease. Further genetic testing confirms a mutation in the PLP1 gene, which encodes for the myelin protein proteolipid protein 1. These findings are consistent with a diagnosis of Pelizaeus-Merzbacher disease, a rare X-linked leukodystrophy characterized by hypomyelination of the central nervous system, leading to progressive neurological dysfunction.",1,1,1,1,2,3,"Mr. Johnson is a 33-year-old male who presented with a history of developmental delay, difficulty with walking, and slurred speech. He has a positive family history of similar symptoms in his younger brother. On examination, he had spasticity in both lower limbs, exaggerated reflexes, and a positive Babinski sign. His gait was ataxic with a tendency to fall towards the right side. He had a mild tremor in his hands, dysarthria, and nystagmus. MRI of the brain revealed diffuse hypomyelination involving the white matter, consistent with Pelizaeus-Merzbacher disease. Genetic testing confirmed the diagnosis of a PLP1 gene mutation. He was started on symptomatic treatment for spasticity, tremor, and dysarthria, with close follow-up by a neurologist.",1,1,1,1,2,3
Papillon-Lefèvre syndrome,No change,"A 6-year-old child presents to the dermatology clinic with a history of recurrent episodes of painful, swollen gums and premature loss of primary teeth. Upon examination, the child has erythematous and edematous gums with significant gingival recession. The palms of the child's hands and soles of the feet are also noted to be thickened and hyperkeratotic. The child has a history of frequent skin infections and has developed a foul odor from the feet. The parents mention that similar symptoms have been observed in the child's older sibling. A diagnosis of Papillon-Lefèvre syndrome is made based on the clinical presentation and family history. The child is referred to a geneticist for further evaluation and management.",1,1,1,1,2,3,"A 28-year-old male presents with severe periodontitis and multiple missing teeth. He reports experiencing frequent dental abscesses and pain. On examination, his palms and soles are erythematous and hyperkeratotic. He also has yellow-brown hyperkeratotic plaques around his nails. The patient reports a history of similar skin lesions in his sister. Genetic testing confirms a diagnosis of Papillon-Lefèvre syndrome.",1,1,1,1,2,3
X-linked dominant chondrodysplasia punctata,No change,"A 6-year-old girl presented to the pediatrician with short stature and limb abnormalities. On physical examination, she was found to have shortening of her upper and lower extremities, particularly in the arms. Additionally, she had characteristic facial features including a flattened nasal bridge and prominent forehead. Radiographic imaging revealed skeletal abnormalities such as punctate calcifications in the epiphyses and metaphyses of the long bones. The diagnosis of X-linked dominant chondrodysplasia punctata was made based on these findings. Further genetic testing confirmed a mutation in the emopamil-binding protein gene, which is responsible for the disease. The patient was referred to a geneticist for further management and counseling regarding the inheritance pattern of the disorder.",1,1,1,1,2,3,"Mrs. Smith is a 35-year-old female who presents to the clinic with complaints of joint pain, short stature and vision problems. She has a history of multiple joint surgeries for dislocations and has been diagnosed with cataracts in both eyes. On physical examination, she has short stature, with a height of 4 feet 10 inches, and she walks with a waddling gait. She has dysmorphic facial features, including a flattened nasal bridge and a small chin. X-rays show characteristic stippling of the epiphyses of long bones and the vertebral column. Genetic testing confirms the diagnosis of X-linked dominant chondrodysplasia punctata.",1,1,1,1,2,3
Xeroderma pigmentosum,No change,"A 6-year-old child presents to the clinic with recurrent skin lesions and freckles on sun-exposed areas of the body. The child's parents report that the child experiences severe burning and blistering when exposed to sunlight, even for short periods. The child also complains of eye irritation and vision problems. A physical exam reveals multiple hyperpigmented macules and papules on the face, neck, and arms, as well as conjunctival injection and corneal opacities. The child is diagnosed with xeroderma pigmentosum, a rare genetic disorder that impairs the ability of the skin to repair DNA damage caused by ultraviolet radiation. The child is advised to avoid sun exposure, wear protective clothing and use sunscreen with a high SPF. Regular eye exams are also recommended to monitor for the development of ocular lesions. The child is referred to a genetic counselor for further evaluation and management.",1,1,1,1,2,3,"A 35-year-old man presents to the dermatologist with a history of multiple skin lesions and freckles since childhood. He reports severe sunburns with minimal sun exposure and a family history of skin cancer. On examination, the patient has numerous hyperpigmented macules and papules on his face, neck, and arms. The skin is dry and rough to the touch. He also has a few actinic keratoses and a history of basal cell carcinoma. The dermatologist suspects Xeroderma pigmentosum and orders genetic testing to confirm the diagnosis. The patient is advised to avoid sun exposure, wear protective clothing and use a high SPF sunscreen to prevent further skin damage. Regular skin cancer screening is also recommended.",1,1,1,1,2,3
X-linked agammaglobulinemia,No change,"A 4-year-old boy presents with a history of recurrent bacterial infections, including pneumonia and otitis media. He has also experienced chronic diarrhea and has failed to thrive despite adequate caloric intake. Family history is significant for multiple male relatives who died in early childhood due to severe infections. Physical examination reveals a normal appearing child with no palpable lymph nodes or tonsils. Laboratory tests show markedly reduced levels of immunoglobulins, and genetic testing confirms a diagnosis of X-linked agammaglobulinemia.",1,1,1,1,2,3,"John is a 29-year-old male who presents with recurrent infections, including sinusitis, bronchitis, and pneumonia. He reports having these infections since childhood and has required multiple hospitalizations and courses of antibiotics. He also reports a family history of males with similar symptoms. On physical examination, he has no palpable lymph nodes and a normal spleen size. Laboratory studies reveal low levels of immunoglobulins, particularly IgG and IgM. Flow cytometry analysis shows a significant reduction in B cells. Genetic testing confirms a diagnosis of X-linked agammaglobulinemia, a rare primary immunodeficiency disorder caused by mutations in the BTK gene. John is started on immunoglobulin replacement therapy to prevent further infections.",1,1,1,1,2,3
Barth syndrome,Change in presentation related to age,"A 3-year-old boy presents to the pediatrician with failure to thrive and recurrent infections. He was born prematurely at 34 weeks and has always been small for his age. On examination, he has a mild cardiomyopathy with a systolic murmur, poor muscle tone, and delayed motor milestones. His blood work reveals neutropenia and increased levels of creatine kinase. Genetic testing confirms a diagnosis of Barth syndrome. Barth syndrome is a rare X-linked disorder that affects mitochondrial function and energy production. It primarily affects boys and typically presents in infancy or early childhood with symptoms such as failure to thrive, muscle weakness, cardiomyopathy, neutropenia, and recurrent infections. The diagnosis is confirmed through genetic testing. Management involves a multidisciplinary approach with nutritional support, cardiac medications, and antibiotics for infections.",1,0,1,0,1,2,"John is a 25-year-old male who presents with unexplained fatigue and shortness of breath. He reports a history of recurrent infections, particularly respiratory infections, and muscle weakness. On examination, he appears thin and has a high-pitched voice. His heart sounds are muffled, and he has an irregular rhythm. An echocardiogram reveals dilated cardiomyopathy, and a muscle biopsy shows abnormal mitochondria. Genetic testing confirms a diagnosis of Barth syndrome. Barth syndrome is a rare X-linked genetic disorder that primarily affects males. It is caused by mutations in the tafazzin gene, which results in abnormal mitochondrial function. The most common clinical features include cardiomyopathy, neutropenia, skeletal muscle weakness, and growth delay. Patients may also have recurrent infections, particularly respiratory infections, and elevated levels of liver enzymes. The diagnosis is confirmed by genetic testing and muscle biopsy. Treatment is supportive and may include medications to improve heart function, growth hormone therapy, and antibiotics for infections.",0,0,1,0,0,1
WAGR syndrome,Only childhood,"A 3-year-old boy is brought to the pediatrician by his parents due to concerns about his vision and developmental delays. On examination, the child is noted to have strabismus and nystagmus. The pediatrician also observes that the child has a small head circumference and is shorter than average for his age. The parents report that the child has not yet begun to speak and has difficulty with balance and coordination. Genetic testing is ordered and reveals a deletion on chromosome 11p13 consistent with WAGR syndrome. The child is referred for further evaluation and management by a geneticist and ophthalmologist.",1,1,1,1,2,3,"John is a 25-year-old male with WAGR syndrome. He presents with developmental delay, intellectual disability, and a history of childhood kidney cancer. On examination, he has a low-set ears, a small penis, and a broad nasal bridge. He also has a high risk of developing Wilms tumor and other tumors due to the deletion of the WT1 gene. John has a history of behavioral issues, including aggression and self-injurious behavior, that require management with medications and behavioral therapy. He is followed closely by a multidisciplinary team that includes a pediatrician, neurologist, urologist, oncologist, and psychologist.",1,1,1,1,2,3
Seckel syndrome,No change,"A 5-year-old boy presents to the pediatrician's office with short stature, microcephaly, and intellectual disability. The patient also has a narrow face with a beak-like nose, prominent forehead, and protruding ears. On physical examination, the child has bird-like arms and legs, and his fingers and toes are thin and elongated. The pediatrician suspects Seckel syndrome, a rare genetic disorder characterized by severe growth retardation, microcephaly, and distinctive facial features. The patient is referred to a geneticist for further evaluation and genetic testing to confirm the diagnosis.",1,1,1,1,2,3,"A 28-year-old woman presents to the clinic with complaints of short stature, intellectual disability, and a small head size. On examination, she measures 4 feet tall and has a head circumference of 46 cm, which is below the third percentile for her age. She also has a narrow face, a beak-like nose, and prominent ears. Her cognitive function is impaired, with an IQ of 65. She has mild microcephaly and a high-pitched voice. These features are consistent with Seckel syndrome, an autosomal recessive disorder characterized by severe growth retardation, microcephaly, and intellectual disability.",1,1,1,1,2,3
Sanfilippo syndrome type B,No change,"A 4-year-old male child was brought to the clinic by his parents with a history of developmental delay and behavioral issues. His parents reported that he had delayed speech and motor milestones and often exhibited hyperactivity, aggression, and difficulty sleeping. On physical examination, he had coarse facial features, a large head circumference, and hepatosplenomegaly. Further investigations revealed elevated levels of glycosaminoglycans in his urine and a deficiency of the enzyme N-acetylglucosamine-6-sulfatase, confirming a diagnosis of Sanfilippo syndrome type B. The child was referred for genetic counseling and management of his symptoms, including behavioral therapy and supportive care.",0,0,1,0,0,1,"Mr. Smith is a 30-year-old male who presents to the clinic with complaints of behavioral changes, developmental regression, and progressive intellectual disability. He has a history of delayed speech and motor milestones since childhood. On examination, he has coarse facial features, hepatosplenomegaly, and joint stiffness. His gait is unsteady, and he has difficulty with fine motor tasks. Laboratory investigations reveal elevated urinary glycosaminoglycans levels, confirming the diagnosis of Sanfilippo syndrome type B. Further genetic testing confirms a homozygous mutation in the NAGLU gene. The patient is referred to a specialist for further management and genetic counseling.",0,1,1,0,1,2
X-linked centronuclear myopathy,Only childhood,"A 5-year-old boy is brought to the pediatrician's office by his parents for concerns about his muscle weakness and delayed motor milestones. On examination, he has hypotonia and weakness in his proximal muscles, especially in his hip flexors and neck extensors. He struggles to stand up from a seated position and has difficulty climbing stairs. His reflexes are decreased, and he has a waddling gait. His parents report that he has been a slow developer, with delayed walking and difficulty with fine motor skills. They also mention a family history of muscular dystrophy. A muscle biopsy confirms the diagnosis of X-linked centronuclear myopathy. The child is referred to a neuromuscular specialist for further management and genetic counseling.",0,0,1,0,0,1,"John is a 35-year-old male who presents with progressive muscle weakness, particularly in his upper arms and legs. He reports difficulty lifting objects and climbing stairs. He also notes that his facial muscles feel weak and that he has difficulty speaking and chewing. John reports that his symptoms have been present for several years, but have become progressively worse over time. On physical examination, John is found to have hypotonia and weakness in his proximal muscles, including his shoulders, hips, and neck. There is also evidence of facial muscle weakness and ptosis. His reflexes are diminished, and he has an elevated serum creatine kinase level. Genetic testing confirms a diagnosis of X-linked centronuclear myopathy.",0,0,1,0,0,1
Oculocerebrorenal syndrome of Lowe,No change,"A 3-year-old boy presents to the clinic with a history of delayed milestones and poor vision. On examination, he is found to have a small head circumference and bilateral congenital cataracts. The patient has a history of recurrent urinary tract infections and polyuria. There is also evidence of hypotonia and muscle weakness. A diagnosis of Oculocerebrorenal syndrome of Lowe is suspected based on these clinical features. Further investigations reveal elevated serum creatine kinase levels and decreased levels of phosphatidylinositol 4,5-bisphosphate in the urine. Genetic testing confirms the diagnosis, and the patient is referred to a specialist for further management.",0,1,1,0,1,2,"A 35-year-old male presents with a history of developmental delay, intellectual disability, and bilateral congenital cataracts. He has a history of recurrent urinary tract infections and polyuria. On examination, he has hypotonia and muscle weakness. Laboratory investigations reveal elevated levels of amino acids, particularly cystine, in the urine. Genetic testing confirms a diagnosis of Oculocerebrorenal syndrome of Lowe.",0,1,1,0,1,2
Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5,No change,"A 6-year-old male child presents with difficulty walking and frequent falls. He has a history of delayed motor milestones and progressive weakness in his lower limbs. On examination, he has a waddling gait, proximal muscle weakness in his lower limbs, and scapular winging. He also has calf hypertrophy and diminished deep tendon reflexes. There is a positive family history of muscular dystrophy. Genetic testing reveals a mutation in the Gamma-sarcoglycan gene, confirming the diagnosis of Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5. The child is referred to a neuromuscular specialist for further management and support.",1,1,1,1,2,3,"A 34-year-old male presents with progressive weakness in his lower limbs and difficulty climbing stairs. He has a history of delayed motor milestones in childhood and a family history of muscle weakness. On examination, he has marked wasting of the lower limb muscles and proximal muscle weakness, with a positive Gower's sign. Creatine kinase levels are elevated. Genetic testing reveals a mutation in the gamma-sarcoglycan gene, confirming a diagnosis of Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5.",1,1,1,1,2,3
Propionic acidemia,No change,"A 6-month-old infant presents to the pediatrician with poor feeding, vomiting, and lethargy. The child was born at term with an unremarkable birth history but has failed to thrive since birth. On physical examination, the infant appears weak and hypotonic with a fruity odor. Laboratory studies reveal metabolic acidosis, hyperammonemia, and elevated levels of propionic acid, confirming the diagnosis of Propionic acidemia. The child is immediately started on a low-protein diet and receives intravenous fluids to correct the metabolic imbalance. The child is referred to a metabolic specialist for long-term management of the condition.",0,1,1,0,1,2,"A 30-year-old male presents to the emergency department with confusion and lethargy. He has a history of developmental delay and recurrent episodes of vomiting and diarrhea since childhood. On examination, he appears acutely ill, with a fruity odor to his breath. Laboratory studies reveal metabolic acidosis with an anion gap, elevated serum ammonia and lactate levels, and hyperammonemia. Urine organic acid analysis shows an increased level of propionylcarnitine, confirming the diagnosis of Propionic acidemia. The patient is started on emergent treatment with intravenous fluids, glucose, and carnitine, and is admitted to the hospital for further management.",0,1,1,0,1,2
Pyridoxine-dependent epilepsy,No change,"A 6-month-old male infant is brought to the emergency department after having a seizure at home. The parents report that the baby has been experiencing recurrent seizures since birth, which have been becoming more frequent and severe over the past few weeks. The child's neurological examination is unremarkable except for mild hypertonia. Laboratory tests reveal low levels of pyridoxine (vitamin B6) in the blood and cerebrospinal fluid. Genetic testing confirms a diagnosis of Pyridoxine-dependent epilepsy. The child is started on high doses of pyridoxine supplements, which result in the resolution of seizures within hours. The parents are advised to continue the supplements and to avoid fasting or other stressors that can trigger seizures. Follow-up visits show that the baby is developing normally and has been seizure-free.",1,1,1,1,2,3,"John is a 28-year-old male who presents with a history of recurrent seizures since childhood. He has been taking anti-epileptic medications with varying degrees of success. He reports that his seizures are often triggered by stress, fatigue, and missed meals. He reports a family history of epilepsy. On examination, John has normal neurologic exam findings. Laboratory investigations reveal low levels of pyridoxine (vitamin B6) in his blood. Genetic testing confirms a diagnosis of pyridoxine-dependent epilepsy. John is started on high-dose pyridoxine supplementation, and his seizures significantly improve.",1,1,1,1,2,3
Metatropic dysplasia,No change,"A 4-year-old boy presents to his pediatrician with complaints of difficulty walking and frequent falls. On examination, the child is noted to have a short stature with a height of 80 cm (<3rd percentile) and a weight of 12 kg. He has a large head circumference (>97th percentile) and a prominent forehead. His chest is broad with a barrel-shaped rib cage, and he has kyphoscoliosis. The child's arms and legs are short, and he has a waddling gait. The child's hands and feet are broad with stubby fingers and toes. Radiographic evaluation reveals platyspondyly, irregularities of the vertebral end plates, and a small pelvis. These findings are consistent with the diagnosis of Metatropic Dysplasia, a rare form of skeletal dysplasia characterized by short stature, kyphoscoliosis, and a distinctive ""dumbbell-shaped"" femur. The pediatrician refers the child to a geneticist for further evaluation and management.",1,1,1,1,2,3,"John is a 30-year-old male who presents to the orthopedic clinic with complaints of short stature and joint pain since childhood. His medical history is significant for multiple surgeries including spinal fusion and hip replacement. On examination, he has a short stature with a height of 3 feet 5 inches and a characteristic barrel-shaped chest. His arms and legs are short and bowed, and he has limited range of motion in his hips and knees. X-rays reveal severe kyphoscoliosis and irregularities in the shape and size of his bones, consistent with a diagnosis of Metatropic dysplasia. John reports a significant impact on his quality of life due to his physical limitations and chronic pain.",1,1,1,1,2,3
Nail-patella syndrome,No change,"A 7-year-old male presents to his pediatrician with complaints of pain and swelling in his knees and elbows. He has a history of nail abnormalities and was diagnosed with Nail-patella syndrome at birth. On examination, the child has hypoplastic, absent or discolored nails, and patella hypoplasia. He also has bilateral elbow contractures and limited range of motion in his knees. The pediatrician notes a triangular shaped face with prominent forehead and receding hairline. The child's mother reports a family history of similar nail and skeletal abnormalities. The pediatrician refers the child to a geneticist for further evaluation and management.",1,1,1,1,2,3,"A 35-year-old female presents to the clinic with complaints of knee pain and difficulty walking. She reports a long history of nail abnormalities and small, poorly developed patellae. Upon examination, the patient has hypoplastic patellae and nails that are triangular-shaped with a small base and a tendency to split. She also has evidence of early-onset osteoarthritis in her knees. Further evaluation reveals that the patient has proteinuria and a history of kidney disease, which is commonly associated with Nail-patella syndrome. Genetic testing confirms the diagnosis of Nail-patella syndrome, a rare autosomal dominant disorder that affects the development of nails, patellae, and the kidneys. The patient is referred to a nephrologist for further evaluation and management of her kidney disease, and an orthopedic specialist for treatment of her knee pain and osteoarthritis.",1,1,1,1,2,3
Hyperphenylalaninemia due to tetrahydrobiopterin deficiency,No change,"A 2-year-old male child presents to the pediatrician with developmental delay and delayed milestones. The parents report that the child has difficulty sitting up and crawling compared to other children his age. On examination, the child appears pale and lethargic with a decreased muscle tone. The physician also notices a musty odor coming from the child's skin. Laboratory tests reveal elevated levels of phenylalanine in the blood and urine, along with low levels of tyrosine. A diagnosis of hyperphenylalaninemia due to tetrahydrobiopterin deficiency is suspected, and the child is referred to a metabolic specialist for further evaluation and management.",1,1,1,1,2,3,"A 35-year-old male presents to the clinic with complaints of developmental delay and intellectual disability since childhood. He also reports experiencing mild tremors and difficulty with coordination. His medical history is significant for a diagnosis of hyperphenylalaninemia due to tetrahydrobiopterin (BH4) deficiency. On examination, he has mild hypertonia and hyperreflexia. Laboratory tests reveal elevated levels of phenylalanine and decreased levels of tyrosine and neurotransmitters such as dopamine and serotonin. Further genetic testing confirms the diagnosis of BH4 deficiency. The patient is started on BH4 supplementation and a low phenylalanine diet. Follow-up visits show improvement in his tremors and coordination, as well as modest gains in cognitive function.",0,1,1,0,1,2
Cockayne syndrome,No change,"Sarah is a 4-year-old girl who presents to the clinic with her parents. Her parents report that Sarah has had recurrent infections, developmental delays, and vision problems. Sarah is small for her age and has a disproportionately small head. During the physical exam, the doctor notices that Sarah has dry, scaly skin and a prominent forehead. She also has thinning hair and small, widely spaced teeth. When the doctor attempts to move her limbs, Sarah seems to be in pain and resists movement. Sarah's parents report that she has been experiencing hearing loss and has become increasingly sensitive to light. Based on these findings, the doctor suspects that Sarah may have Cockayne syndrome, a rare genetic disorder that affects growth and development.",1,1,1,1,2,3,"A 35-year-old male presents with developmental delay, short stature, and photosensitivity. He has a history of frequent infections and hearing loss. On physical examination, he has a bird-like facies, thin hair, and small eyes. His skin is dry, thin, and has multiple freckles on sun-exposed areas. Neurological examination reveals cerebellar ataxia and peripheral neuropathy. Genetic testing confirms a diagnosis of Cockayne syndrome.",1,1,1,1,2,3
Retinitis punctata albescens,No change,"A 7-year-old boy presents to the ophthalmologist with complaints of progressive vision loss and difficulty seeing at night. The child has a history of night blindness that started at the age of 4. On examination, the ophthalmologist notes the presence of white, punctate lesions located throughout the retina. The lesions are small and round, and they appear as white dots on fundus examination. There is also evidence of macular degeneration. The child's visual acuity is significantly reduced, and he struggles with visual tasks that require good contrast sensitivity. The ophthalmologist diagnoses the child with Retinitis punctata albescens, a rare genetic disorder characterized by the presence of numerous white dots on the retina and progressive vision loss. The child is referred to a geneticist for further evaluation and management.",1,1,1,1,2,3,"A 35-year-old male presents to the ophthalmologist with complaints of gradual loss of vision in both eyes over the past 5 years. He reports difficulty seeing in low light conditions and has noticed multiple small white dots in his visual field. On examination, the patient has reduced visual acuity and bilateral retinal pigment deposits in a punctate pattern. Fluorescein angiography reveals areas of hyperfluorescence corresponding to the pigment deposits. The patient is diagnosed with Retinitis punctata albescens, a rare genetic disorder characterized by progressive vision loss due to the accumulation of deposits in the retina.",0,1,1,0,1,2
Severe generalized junctional epidermolysis bullosa,Only childhood,"A 5-year-old boy presents to the dermatology clinic with a history of recurrent blistering and skin erosions all over his body since birth. He has a family history of similar symptoms and his parents are also affected. On examination, his skin is extremely fragile and any touch or trauma leads to the formation of blisters and erosions. His nails are dystrophic and there are areas of scarring and hyperpigmentation on his skin. He has difficulty eating solid foods due to oral blistering and has frequent episodes of upper respiratory infections due to involvement of the mucous membranes. Genetic testing confirms a diagnosis of severe generalized junctional epidermolysis bullosa, a rare and debilitating genetic disorder that affects the skin and mucous membranes. The child requires ongoing multidisciplinary care and management to prevent infections, maintain skin integrity, and improve his quality of life.",1,0,1,0,1,2,"John is a 32-year-old male who has been suffering from recurrent blistering and skin erosions since he was a child. He has been diagnosed with severe generalized junctional epidermolysis bullosa (EB), a rare genetic disorder that affects the skin and mucous membranes. His skin is extremely fragile and easily blisters and tears with minor trauma or friction. John has scars on his skin due to repeated blistering and healing. He reports experiencing significant pain and discomfort due to his skin condition, which has affected his daily activities and work. He has also had recurrent infections, including skin infections and sepsis, requiring hospitalization. John has a history of malnutrition and anemia, which is due to the limited food intake as chewing and swallowing is painful. John has a positive family history, and his two siblings and father also have a similar skin condition. He has been managed by a dermatologist and a multidisciplinary team of specialists, including a nutritionist and a pain management team. His treatment has included wound care, pain management, and preventive measures such as avoiding trauma to the skin. John's prognosis is guarded as there is no cure for EB, and the management is mainly supportive.",0,0,1,0,0,1
Glycine encephalopathy,Change in presentation related to age,"A 6-month-old male infant was brought to the emergency department with poor feeding, lethargy, and seizures. The infant was born full-term with no known complications during pregnancy or delivery. On examination, the infant was hypotonic and had a weak suck reflex. Blood tests revealed elevated glycine levels, and a urine organic acid analysis showed elevated levels of glycine and its metabolites. Magnetic resonance imaging (MRI) of the brain showed diffuse white matter abnormalities. The infant was diagnosed with Glycine encephalopathy, a rare metabolic disorder caused by a defect in the glycine cleavage system. Treatment was started with a low-protein diet, sodium benzoate, and dextromethorphan. Despite treatment, the infant's neurological status continued to deteriorate, and he passed away at 9 months of age.",1,1,1,1,2,3,"A 28-year-old woman presents to the emergency department with a history of recurrent seizures and developmental delay since childhood. She has a history of intellectual disability and speech delay. The patient's family reports that she has had several episodes of unexplained fever and lethargy in the past. On examination, the patient appears lethargic and has a low-grade fever. She has a mild tremor, and her deep tendon reflexes are hyperactive. Laboratory investigations reveal elevated serum glycine levels, and a diagnosis of glycine encephalopathy is made. The patient is started on intravenous fluids, anticonvulsants, and supportive therapy. She is referred to a metabolic specialist for further management.",0,1,1,0,1,2
Severe hereditary thrombophilia due to congenital protein C deficiency,No change,"A 6-year-old male child was admitted to the hospital with severe bleeding and bruising on his arms and legs. The child had a history of congenital protein C deficiency, which was diagnosed during his neonatal period. He had been receiving regular protein C replacement therapy, but he missed his last dose due to a family emergency. The child's parents reported that he had been experiencing pain and swelling in his left leg for the past few days. On physical examination, the child had multiple ecchymoses and petechiae on his arms and legs. His left leg was swollen, and there was tenderness and warmth in the area. Laboratory tests revealed a markedly prolonged activated partial thromboplastin time (aPTT) and a low level of protein C. Doppler ultrasound of the left leg showed deep vein thrombosis. The child was diagnosed with severe hereditary thrombophilia due to congenital protein C deficiency and was started on anticoagulant therapy along with protein C replacement. The child's condition improved gradually, and he was discharged from the hospital after a week with close follow-up appointments.",0,1,1,0,1,2,"A 35-year-old male presents to the emergency department with sudden onset chest pain and shortness of breath. He has a history of hereditary thrombophilia due to congenital protein C deficiency and has been on anticoagulation therapy for the past year. The patient reports that he recently stopped his medication due to financial constraints. On examination, he has tachycardia, tachypnea, and decreased oxygen saturation. A chest x-ray reveals a pulmonary embolism. Laboratory tests confirm a significantly elevated D-dimer level and a low protein C level. The patient is started on heparin therapy and admitted for further management. The importance of consistent anticoagulation therapy is emphasized to the patient and a follow-up appointment is scheduled for medication reconciliation and monitoring.",1,1,1,1,2,3
Mucopolysaccharidosis type 6,No change,"Tommy is a 5-year-old boy who has been experiencing multiple health problems since birth. He has delayed development, short stature, and frequent ear infections. His parents also noticed that he has a hoarse voice, a flat nasal bridge, and thick lips. Tommy's pediatrician referred him to a metabolic specialist, who diagnosed him with Mucopolysaccharidosis type 6 (MPS 6). Further evaluation revealed that Tommy has an enlarged liver and spleen, as well as restricted joint movement. He also has corneal clouding, which affects his vision. His urine test showed elevated levels of glycosaminoglycans (GAGs), which confirmed the diagnosis of MPS 6. Tommy's parents were devastated to learn that there is no cure for MPS 6, and that the treatment options are limited to managing the symptoms. Tommy will require enzyme replacement therapy to slow down the progression of the disease. He will also need regular follow-up with a team of specialists, including a metabolic specialist, a genetic counselor, and an ophthalmologist, to monitor his condition and manage his symptoms.",0,1,1,0,1,2,"John is a 35-year-old male who presents to his primary care physician with a history of joint pain, stiffness, and limited mobility. He also reports difficulty with hearing and vision. On physical exam, he has coarse facial features, a prominent forehead, and a large tongue. He has limited range of motion in his hips and shoulders. His gait is waddling and he has a noticeable sway in his back. His hands are broad with thick fingers and his skin is thickened. He has a history of recurrent ear and respiratory infections. A urine test reveals elevated levels of glycosaminoglycans. These findings are consistent with Mucopolysaccharidosis type 6, also known as Maroteaux-Lamy syndrome.",0,1,1,0,1,2
Hermansky-Pudlak syndrome,Change: presentation/management,"A 5-year-old Hispanic boy presents to the pediatrician with a history of recurrent nosebleeds, easy bruising, and frequent infections. On physical examination, he has pale skin, nystagmus, and mild hepatomegaly. His platelet count is low, and his clotting time is prolonged. A detailed family history reveals that his father and grandmother also have similar symptoms. Further evaluation and genetic testing confirm the diagnosis of Hermansky-Pudlak syndrome, a rare autosomal recessive disorder characterized by oculocutaneous albinism, bleeding diathesis, and immunodeficiency. The patient is referred to a specialist for management of his symptoms and genetic counseling for his family members.",1,1,1,1,2,3,"A 35-year-old Hispanic male presents to the clinic with a history of recurrent episodes of easy bruising, nosebleeds, and shortness of breath on exertion. He has a medical history of albinism and visual impairment since childhood. On examination, he has multiple bruises on his arms and legs, scattered petechiae on his face and oral mucosa, and a faint systolic murmur on cardiac auscultation. Laboratory tests reveal mild thrombocytopenia and prolonged bleeding time. Genetic testing confirms the diagnosis of Hermansky-Pudlak syndrome. The patient is advised to avoid strenuous physical activity and to undergo regular monitoring for pulmonary fibrosis and progressive vision loss. He is also referred to a hematologist for further evaluation and management of his bleeding disorder.",0,1,1,0,1,2
Pantothenate kinase-associated neurodegeneration,No change,"David is a 8-year-old boy who was brought to the pediatrician by his parents due to progressive difficulty in walking and talking. His parents noticed that he was becoming clumsy and would frequently fall over while playing. David's speech has also become slurred and difficult to understand. The pediatrician noted that David had dystonia, which is a movement disorder that causes involuntary muscle contractions. He also exhibited spasticity, which is a condition where the muscles are stiff and difficult to move. David's MRI showed iron deposition in the basal ganglia, which is a hallmark of Pantothenate kinase-associated neurodegeneration (PKAN). PKAN is a rare inherited disorder that affects the nervous system, causing progressive movement problems, speech difficulties, and cognitive decline. The pediatrician referred David to a neurologist for further evaluation and management.",1,1,1,1,2,3,"A 32-year-old male presented to the neurology clinic with a six-year history of progressive difficulty with walking and tremors. He reported frequent falls and difficulty with simple tasks such as buttoning his shirt and brushing his teeth. The patient's family noted that he had also been experiencing dysarthria and dysphagia, and had developed a rigid posture. On examination, the patient exhibited dystonia, spasticity, and hyperreflexia. MRI showed iron deposition in the basal ganglia, and genetic testing confirmed a diagnosis of Pantothenate kinase-associated neurodegeneration (PKAN). The patient was started on treatment with levodopa, but his symptoms continued to progress.",1,1,1,1,2,3
